Institución;Grupo;Nombre;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 161;2;2;1;2;1;1;2;1;1;1;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 162;1;2;1;2;1;2;1;1;1;1;2;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 163;2;2;1;2;1;1;2;2;2;1;2;2;1;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 164;1;2;1;2;1;2;1;2;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 165;2;1;1;1;1;2;1;1;2;1;2;3;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 166;2;2;1;2;1;1;1;1;1;1;1;3;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;2";Estudiante 167;1;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 168;1;1;1;1;2;1;1;1;1;1;1;2;0;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 169;2;1;1;1;2;2;2;2;1;2;1;1;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 170;2;2;1;2;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 171;1;1;2;1;1;1;2;1;1;2;1;2;1;1;2
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 172;1;2;1;2;1;1;1;1;1;1;1;2;1;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 173;2;2;1;1;2;0;1;1;1;1;2;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 174;2;2;1;2;2;2;2;2;1;2;1;0;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 175;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 176;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 177;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 178;2;2;2;2;1;1;2;1;1;1;1;1;2;1;3
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 179;1;2;1;2;1;1;2;1;2;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 180;1;2;2;2;1;1;1;1;1;1;2;2;1;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 181;1;2;1;2;1;1;1;1;2;2;1;2;2;1;1
I.E CONCEJO MUNICIPAL DE ITAGÜÍ;"3;3";Estudiante 182;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1
